--------------------------------Area data--------------------------------
Area name:                        donor nondonor 
Population:                      100000 100000 
Vaccination Rate:                0 0 
Initial cases per day = rho_I*N: 360 72 
Rate out of state I:             0.29141000000000006 0.25641 
Behavior infection multiplier:   1 1 
Proportion willing to be vacc:   0.78 0.78 
n: 45000
------------------------------Scenario data------------------------------
Time horizon (days): 180
Vaccine avaiable day 0: 1500
Weight for non-donor deaths in objective: 0.5
Upper limit on proportion infectious due to behavior: {'donor': 0.03, 'nondonor': 0.03}
Max. prop. of vaccine allocated to donor areas: 1
Rate out of state E into I:0.2
Rate out of state I w/o testing: 0.25641
P(death | infected, not vacc): 0.014
P(death | infected, vacc): 0.0079
Initial infection rate: 0.6
Change in infection rate for variant: 0.6
Prop. transmission from a vaccinated person: 0.8
Prop. transmission to a vaccinated person: 0.8
Lag for variant to reach other areas (days): 15
Time for variant to dominate (days): 25
Prop. of people in state I that have the new variant when introduced: 0.01
-------------------------------Parameters--------------------------------
Simulate only: False
Priority (decreasing): nondonor donor 
Lagrange multiplier for infection: 0.001
Exploration multiplier for lambda: 4
Exploration tolerance for LP: 1000
Termination tolerance for LP: 0.001
Termination tolerance for lambda: 0.1
Exploration convergence parameter for LP: 0.8
Iteration limit for LP: 3
Iteration limit for lambda: 5
Days after t_n[0] in Lagrangian: 4
Verbosity: 2
-------------------------------------------------------------------------
Convergence: Min/Max change in V_cal, (sim - LP)

                           --------deaths-------_
i  j     lambda    zNLP    weighted donor   total    t_n    conv of V_cal     vacc by area
first simulation
0  0       0        0      918.08   632.13  1204.04  77.32                   56413  71581 
optimal (best deaths found)
0  0     0.0010   964.19   918.08   632.13  1204.04  77.32 (    0.0,   0.0)  56413  71581 
minimum (best zNLP w/ Lagrangian for last lambda) w/ convergence for last LP
5  0     0.0000   964.19   918.08   632.13  1204.04  77.32 (    0.0,   0.0)     0     0 

Outer Loop over lambda. j_min = iter of inner loop that achieves best wtd deaths
iter  lambda j_min  zNLP  wtd_deaths  subopt  t_n   conv of V_cal
0     0.0010  0    964.19   918.08      0.00  77.32 (    0.0,   0.0)
1     0.0010  0    964.19   918.08      0.00  77.32 (    0.0,   0.0)
2     0.0040  0    964.19   918.08      0.00  77.32 (    0.0,   0.0)
3     0.0003  0    964.19   918.08      0.00  77.32 (    0.0,   0.0)
4     0.0001  0    964.19   918.08      0.00  77.32 (    0.0,   0.0)
5     0.0000  0    964.19   918.08      0.00  77.32 (    0.0,   0.0)

Inner Loop at last i (last lambda)
iter  zNLP subopt w/in this i wtd_deaths subopt  t_n   conv of V_cal
0    964.19      0.00         918.08      0.00   77.32 (    0.0,   0.0)
1    981.39     17.20         980.03     61.95   77.32 ( -290.7, 914.1)
2    981.49     17.31         979.98     61.90   77.32 (   -0.8,   0.2)
3    981.49     17.31         979.98     61.90   77.32 (   -0.0,   0.0)

Vaccinations: sim of best LP (best j), last lambda (min) 
  day    Vacc by area 
   0     0    0  
   1     0    0  
   2     0    0  
   3     0    0  
   4     0    0  
   5     0    0  
   6     0    0  
   7     0    0  
   8     0    0  
   9     0    0  
  10     0    0  
  11     0    0  
  12     0    0  
  13     0    0  
  14     0    0  
  15     0    0  
  16     0    0  
  17     0    0  
  18     0    0  
  19     0    0  
  20     0    0  
  21     0    0  
  22     0    0  
  23     0    0  
  24     0    0  
  25     0    0  
  26     0    0  
  27     0    0  
  28     0    0  
  29     0    0  
  30     0    0  
  31     0    0  
  32     0    0  
  33     0    0  
  34     0    0  
  35     0    0  
  36     0    0  
  37     0    0  
  38     0    0  
  39     0    0  
  40     0    0  
  41     0    0  
  42     0    0  
  43     0    0  
  44     0    0  
  45     0    0  
  46     0    0  
  47     0    0  
  48     0    0  
  49     0    0  
  50     0    0  
  51     0    0  
  52     0    0  
  53     0    0  
  54     0    0  
  55     0    0  
  56     0    0  
  57     0    0  
  58     0    0  
  59     0    0  
  60     0    0  
  61     0    0  
  62     0    0  
  63     0    0  
  64     0    0  
  65     0    0  
  66     0    0  
  67     0    0  
  68     0    0  
  69     0    0  
  70     0    0  
  71     0    0  
  72     0    0  
  73     0    0  
  74     0    0  
  75     0    0  
  76     0    0  
  77     0    0  
  78     0    0  
  79     0    0  
  80     0    0  
  81     0    0  
  82     0    0  
  83     0    0  
  84     0    0  
  85     0    0  
  86     0    0  
  87     0    0  
  88     0    0  
  89     0    0  
  90     0    0  
  91     0    0  
  92     0    0  
  93     0    0  
  94     0    0  
  95     0    0  
  96     0    0  
  97     0    0  
  98     0    0  
  99     0    0  
  100    0    0  
  101    0    0  
  102    0    0  
  103    0    0  
  104    0    0  
  105    0    0  
  106    0    0  
  107    0    0  
  108    0    0  
  109    0    0  
  110    0    0  
  111    0    0  
  112    0    0  
  113    0    0  
  114    0    0  
  115    0    0  
  116    0    0  
  117    0    0  
  118    0    0  
  119    0    0  
  120    0    0  
  121    0    0  
  122    0    0  
  123    0    0  
  124    0    0  
  125    0    0  
  126    0    0  
  127    0    0  
  128    0    0  
  129    0    0  
  130    0    0  
  131    0    0  
  132    0    0  
  133    0    0  
  134    0    0  
  135    0    0  
  136    0    0  
  137    0    0  
  138    0    0  
  139    0    0  
  140    0    0  
  141    0    0  
  142    0    0  
  143    0    0  
  144    0    0  
  145    0    0  
  146    0    0  
  147    0    0  
  148    0    0  
  149    0    0  
  150    0    0  
  151    0    0  
  152    0    0  
  153    0    0  
  154    0    0  
  155    0    0  
  156    0    0  
  157    0    0  
  158    0    0  
  159    0    0  
  160    0    0  
  161    0    0  
  162    0    0  
  163    0    0  
  164    0    0  
  165    0    0  
  166    0    0  
  167    0    0  
  168    0    0  
  169    0    0  
  170    0    0  
  171    0    0  
  172    0    0  
  173    0    0  
  174    0    0  
  175    0    0  
  176    0    0  
  177    0    0  

Optimal vaccinations 
  day    Vacc by area 
   0     0    1500  
   1     0    1500  
   2     0    1500  
   3     0    1500  
   4     0    1500  
   5     0    1500  
   6     0    1500  
   7     0    1500  
   8     0    1500  
   9     0    1500  
  10     0    1500  
  11     0    1500  
  12     0    1500  
  13     0    1500  
  14     0    1500  
  15     0    1500  
  16     0    1500  
  17     0    1500  
  18     0    1500  
  19     0    1500  
  20     0    1500  
  21     0    1500  
  22     0    1500  
  23     0    1500  
  24     0    1500  
  25     0    1500  
  26     0    1500  
  27     0    1500  
  28     0    1500  
  29     0    1500  
  30     0    1500  
  31     0    1500  
  32     0    1500  
  33     0    1500  
  34     0    1500  
  35     0    1500  
  36     0    1500  
  37     0    1500  
  38     0    1500  
  39     0    1500  
  40     0    1500  
  41     0    1500  
  42     0    1500  
  43     0    1500  
  44     0    1500  
  45     0    1500  
  46     0    1500  
  47     419.22285142793135    1080.7771485720687  
  48     1500.0    0.0  
  49     1500.0    0.0  
  50     1500.0    0.0  
  51     1500.0    0.0  
  52     1500.0    0.0  
  53     1500.0    0.0  
